namespace,name,bits,p,a,b,n,h,gx,gy
x963,ansip160k1,160,0xfffffffffffffffffffffffffffffffeffffac73,0x0,0x7,0x100000000000000000001b8fa16dfab9aca16b6b3,0x1,0x3b4c382ce37aa192a4019e763036f4f5dd4d7ebb,0x938cf935318fdced6bc28286531733c3f03c4fee
x963,ansip160r1,160,0xffffffffffffffffffffffffffffffff7fffffff,-0x3,0x1c97befc54bd7a8b65acf89f81d4d4adc565fa45,0x100000000000000000001f4c8f927aed3ca752257,0x1,0x4a96b5688ef573284664698968c38bb913cbfc82,0x23a628553168947d59dcc912042351377ac5fb32
x963,ansip160r2,160,0xfffffffffffffffffffffffffffffffeffffac73,-0x3,0xb4e134d3fb59eb8bab57274904664d5af50388ba,0x100000000000000000000351ee786a818f3a1a16b,0x1,0x52dcb034293a117e1f4ff11b30f7199d3144ce6d,0xfeaffef2e331f296e071fa0df9982cfea7d43f2e
x963,ansip192k1,192,0xfffffffffffffffffffffffffffffffffffffffeffffee37,0x0,0x3,0xfffffffffffffffffffffffe26f2fc170f69466a74defd8d,0x1,0xdb4ff10ec057e9ae26b07d0280b7f4341da5d1b1eae06c7d,0x9b2f2f6d9c5628a7844163d015be86344082aa88d95e2f9d
x963,ansip224k1,224,0xfffffffffffffffffffffffffffffffffffffffffffffffeffffe56d,0x0,0x5,0x10000000000000000000000000001dce8d2ec6184caf0a971769fb1f7,0x1,0xa1455b334df099df30fc28a169a467e9e47075a90f7e650eb6b7a45c,0x7e089fed7fba344282cafbd6f7e319f7c0b0bd59e2ca4bdb556d61a5
x963,ansip224r1,224,0xffffffffffffffffffffffffffffffff000000000000000000000001,-0x3,0xb4050a850c04b3abf54132565044b0b7d7bfd8ba270b39432355ffb4,0xffffffffffffffffffffffffffff16a2e0b8f03e13dd29455c5c2a3d,0x1,0xb70e0cbd6bb4bf7f321390b94a03c1d356c21122343280d6115c1d21,0xbd376388b5f723fb4c22dfe6cd4375a05a07476444d5819985007e34
x963,ansip256k1,256,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2f,0x0,0x7,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0364141,0x1,0x79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,0x483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8
x963,ansip384r1,384,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffeffffffff0000000000000000ffffffff,-0x3,0xb3312fa7e23ee7e4988e056be3f82d19181d9c6efe8141120314088f5013875ac656398d8a2ed19d2a85c8edd3ec2aef,0xffffffffffffffffffffffffffffffffffffffffffffffffc7634d81f4372ddf581a0db248b0a77aecec196accc52973,0x1,0xaa87ca22be8b05378eb1c71ef320ad746e1d3b628ba79b9859f741e082542a385502f25dbf55296c3a545e3872760ab7,0x3617de4a96262c6f5d9e98bf9292dc29f8f41dbd289a147ce9da3113b5f0b8c00a60b1ce1d7e819d7a431d7c90ea0e5f
x963,ansip521r1,521,0x1ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,-0x3,0x51953eb9618e1c9a1f929a21a0b68540eea2da725b99b315f3b8b489918ef109e156193951ec7e937b1652c0bd3bb1bf073573df883d2c34f1ef451fd46b503f00,0x1fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffa51868783bf2f966b7fcc0148f709a5d03bb5c9b8899c47aebb6fb71e91386409,0x1,0xc6858e06b70404e9cd9e3ecb662395b4429c648139053fb521f828af606b4d3dbaa14b5e77efe75928fe1dc127a2ffa8de3348b3c1856a429bf97e7e31c2e5bd66,0x11839296a789a3bc0045c8a5fb42c7d1bd998f54449579b446817afbd17273e662c97ee72995ef42640c550b9013fad0761353c7086a272c24088be94769fd16650
x962,prime192v1,192,0xfffffffffffffffffffffffffffffffeffffffffffffffff,-0x3,0x64210519e59c80e70fa7e9ab72243049feb8deecc146b9b1,0xffffffffffffffffffffffff99def836146bc9b1b4d22831,0x1,0x188da80eb03090f67cbf20eb43a18800f4ff0afd82ff1012,0x7192b95ffc8da78631011ed6b24cdd573f977a11e794811
